Parlamentare,id,Partito,dataIngresso,634001,635023,635022,635008,635005,635013,635020,635009,635019,635015,635007,635010,635004,635011,635006,635002,635018,635012,635021,635016,635017,635001,635014,635003,638001,639001,640007,640036,640034,640043,640013,640012,640028,640011,640039,640010,640048,640005,640015,640025,640049,640020,640017,640032,640026,640003,640042,640046,640006,640047,640014,640038,640018,640044,640023,640030,640051,640037,640016,640022,640019,640024,640004,640021,640009,640045,640035,640031,640050,640002,640001,640029,640027,640008,640033,640040,640041,642001,643037,643045,643031,643014,643029,643024,643034,643044,643041,643039,643011,643009,643042,643028,643008,643047,643038,643005,643026,643035,643043,643025,643006,643019,643003,643007,643032,643002,643046,643040,643004,643012,643022,643010,643015,643021,643027,643017,643001,643020,643018,643016,643013,643033,643030,643036,643023,645004,645012,645017,645008,645030,645010,645029,645032,645015,645009,645016,645028,645006,645026,645027,645005,645024,645018,645002,645003,645011,645019,645014,645023,645025,645033,645021,645035,645007,645022,645001,645031,645013,645020,645034
D'ERAMO LUIGI,307242,LEGA,2018-03-27,Favorevole,Contrario,Contrario,Non ha votato,Non ha votato,Non ha votato,Favorevole,Non ha votato,Favorevole,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Non ha votato,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Ha votato,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Non ha votato,Contrario,Contrario,Non ha votato,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
D'ALESSANDRO CAMILLO,307244,PD,2018-03-27,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Non ha votato,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Non ha votato
DONZELLI GIOVANNI,307246,FDI,2018-03-27,Non ha votato,Favorevole,Favorevole,Non ha votato,Non ha votato,Non ha votato,Astensione,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Favorevole,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Favorevole,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Contrario
MAZZETTI ERICA,307248,FI,2018-03-27,Favorevole,Non ha votato,Non ha votato,Favorevole,Favorevole,Non ha votato,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Non ha votato,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICCIARDI RICCARDO,307250,M5S,2018-03-27,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,Contrario,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZZINI GLORIA,307252,M5S,2018-03-27,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BORGHI CLAUDIO,307254,LEGA,2018-03-27,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
BERTI FRANCESCO,307256,M5S,2018-03-27,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Non ha votato,Favorevole,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Favorevole,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Ha votato,Contrario,Contrario,Contrario,Non ha votato,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Non ha votato,Non ha votato,Astensione,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Favorevole,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Favorevole,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole
CIAMPI LUCIA,307258,PD,2018-03-27,Favorevole,Contrario,Contrario,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole
MUGNAI STEFANO,307260,FI,2018-03-27,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGNAIOLI DONATELLA,307262,LEGA,2018-03-27,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EHM YANA CHIARA,307264,MISTO,2018-03-23,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Non ha votato,Contrario,Favorevole,Favorevole,Non ha votato,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
SENSI FILIPPO,307266,PD,2018-03-27,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,Contrario,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPANI ELISABETTA,307268,MISTO,2018-03-23,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,Contrario,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POTENTI MANFREDI,307270,LEGA,2018-03-27,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,Contrario,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIGLIORINO LUCA,307272,M5S,2018-03-27,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TESTAMENTO ROSA ALBA,307275,M5S,2018-03-27,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOVERINI SERSE,307276,MISTO,2018-03-23,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,Contrario,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIETINA SIMONA,307277,CI,2022-06-23,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,Contrario,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEDERICO ANTONIO,307278,M5S,2018-03-27,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Non ha votato,Favorevole,Favorevole,Contrario,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole
TOMASI MAURA,307279,LEGA,2018-03-27,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,Contrario,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCCHIONERO GIUSEPPINA,307281,IV-IC'E',2019-09-19,Favorevole,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRITELLI FRANCESCO,307282,PD,2018-03-27,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
CESTARI EMANUELE,307283,LEGA,2018-03-27,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Non ha votato,Contrario,Favorevole,Contrario,Non ha votato,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Non ha votato,Contrario,Non ha votato,Contrario,Contrario,Contrario,Non ha votato,Astensione,Contrario,Non ha votato,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Non ha votato,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Astensione,Contrario,Contrario,Contrario,Contrario,Contrario,Astensione,Astensione,Astensione,Contrario,Astensione,Contrario,Astensione,Astensione,Favorevole,Astensione,Astensione,Favorevole,Contrario,Contrario,Contrario,Favorevole,Astensione,Contrario,Astensione,Astensione,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Astensione,Astensione,Contrario,Contrario,Contrario
FIORINI BENEDETTA,307284,LEGA,2018-03-27,Favorevole,Contrario,Contrario,Non ha votato,Non ha votato,Non ha votato,Favorevole,Non ha votato,Favorevole,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Non ha votato,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,Contrario,Non ha votato,Contrario,Non ha votato,Contrario,Non ha votato,Non ha votato,Non ha votato,Contrario,Favorevole,Non ha votato,Astensione,Favorevole,Non ha votato,Contrario,Contrario,Non ha votato,Non ha votato,Non ha votato,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Favorevole,Non ha votato,Contrario,Non ha votato,Non ha votato,Non ha votato,Contrario,Non ha votato
